Id,SalePrice
2658,152548.19293362572
2718,180921.3468522925
2414,202027.38141269333
1989,126948.86754643176
625,180911.39745727702
333,84801.29017453935
1327,94500.27904914613
858,153435.68550126988
95,193320.34959111072
1568,164257.0578826885
2482,167747.4778993323
1364,120617.03285613446
2584,166182.7977657341
818,276219.3806926438
2673,171230.01750600722
2089,121054.87830889333
1297,166488.78567668484
790,114436.77429153582
2616,171851.8704553584
720,216718.95656646302
222,142085.05608918748
557,125280.33259315699
1148,198565.87233011716
2766,181264.66513845194
534,188544.22200298376
1452,130153.70591977079
630,134937.70648471647
2648,112797.20576220255
125,164306.8606295219
1904,54669.933281655656
1670,111301.02727659087
756,99730.7768346873
717,216488.7739876328
1032,153182.56329679303
852,217376.51957409878
1731,174958.3156448154
2639,120543.43711213453
2071,78119.89852839614
1267,136322.2255162241
1851,194957.91289775347
567,172063.79289349596
2439,214679.03678661532
1898,141012.05594731303
647,175436.0265944555
2256,229226.6510663956
979,92126.2394632725
1444,221591.48353744822
2485,107848.43880908778
157,116563.05392658935
88,113430.61022815823
2003,102527.39355955392
186,210007.37145941443
1425,246860.8535393476
2695,113734.01826552724
738,103977.80613612627
395,138874.96848586027
1353,169369.93811817627
1878,140336.286998145
390,160730.29100473376
1456,224586.47316788504
1103,311119.1684544554
1387,123018.9997562305
2070,157545.67951786538
1199,185510.83721187632
2479,177228.6329507044
501,328077.1794716541
2362,77495.1851015303
1718,234693.79251676504
2188,54055.36106068577
1483,166785.4693143181
2557,86630.004763392
437,336609.3796074431
2224,202744.30943706993
1628,187702.31816505684
397,141738.18158508264
587,202420.33593494864
2182,494984.71414286655
971,147164.574503459
2611,130470.79248493623
1887,102348.95165599309
2399,375884.14858663746
2148,203477.91020025677
304,126754.18957387145
1997,123666.71425939523
2817,119012.06579529174
1431,193832.87570910892
427,361216.3265198687
263,122064.77802792609
598,192152.79539259415
2895,255833.621620786
687,159745.6779320454
1822,119470.76755840622
2191,89036.70638989177
179,136445.3715448787
1009,257837.5300485338
2010,110698.58008504275
1991,147447.85637153062
1411,154952.2650860292
1721,268529.3647276178
1144,187226.85241308008
593,213849.51622067342
575,309400.7832219172
1249,189049.59328281606
1604,104686.9444118695
1064,433434.78397233784
1923,160066.62160201732
1988,94083.54122747401
2325,165891.3562016027
114,204747.35948124807
2700,182054.49210959673
217,107132.78252445327
343,174910.91427025257
386,229563.5750276878
2005,101743.79331734897
2908,128099.94746453626
1814,233824.00825556688
2446,466874.68780336966
208,175939.2158029071
1679,111079.48637410824
822,319430.6148046014
6,166057.7783377659
1781,348429.3483442811
2397,305001.52440228965
2340,343663.3170060952
1618,169877.77092740766
2843,169021.47639667793
1061,344844.3093809665
2786,125390.62380556233
1935,120095.43520132179
1341,114651.1699267415
521,259527.4672695217
2136,144933.80451081588
996,208378.34887545952
227,150289.98145835503
135,183253.88492428974
1167,163836.61598717462
294,246428.47185361624
1776,201975.3218060399
540,185166.71354170682
1717,234692.29764973623
2303,126485.73205110652
116,176215.0298777863
127,134006.70354963752
1371,132624.44293127078
1014,173653.44266173427
1507,88993.61717735822
702,153683.77884110468
750,154400.22666578152
261,161973.3543497055
1559,75763.60377347255
577,219627.23610499388
2812,200382.005282267
2080,142331.63698955846
1368,112231.48475915569
2376,114978.92179987206
659,132657.42513346334
1235,135691.7646519992
332,64782.98445376787
1917,125659.99925695326
2094,257233.57738064346
1460,264658.1730707329
1471,209509.8549819878
1509,109774.21817240471
1922,123530.86264304552
433,438636.21230848145
460,310180.87836873194
1116,221670.0020009427
1137,155679.34761075146
53,180656.30342995387
2354,234729.15007260448
1475,207767.28223926862
1761,455058.37642196
842,130718.32720358908
2739,172125.85955535452
2509,167660.06539671094
1007,211312.30161790727
2610,169877.71532761864
1952,81900.8494724746
2719,163462.93731198355
2921,79953.32966002716
1966,129155.3526418077
292,120204.88769710681
1204,187585.37560573942
1829,262253.62021141127
2419,187735.23851105382
391,173893.482004319
798,120742.94100651694
481,194631.6347270067
193,208068.78059097886
555,124191.31200846673
899,55991.37835672265
2357,184347.4931242405
328,136493.88143207686
1356,129990.375269359
1154,124595.17288739914
1730,184230.76075006815
2249,151234.6012654727
1119,265523.22113453905
2856,150991.3389925949
1394,124851.7371675714
2587,135856.0252031554
61,339978.06851801905
2661,174145.07188357043
2711,137204.45165278562
1147,186837.22154548118
757,129995.03667940956
2623,96031.85299153779
2378,157127.31484736886
1413,153873.95876102656
1722,256540.2623227117
1112,228574.46834311588
1623,176673.25690560046
1201,206464.08379032908
1513,103306.16984468309
957,409769.51491040207
1171,234230.55984374956
1145,200350.373805095
2726,235786.7205043577
703,155661.3867667251
760,91386.7987338259
1964,126950.97299977834
2512,196733.13827589483
159,134452.76495872263
1281,176958.6860561464
468,193404.93141719166
290,131313.54092289886
665,123610.27970269896
1463,262348.977432812
1792,210766.43972907253
923,125895.39816706648
500,299604.8728589343
1408,175360.58090538633
331,76133.35409676815
170,141116.7642097593
2192,86490.89844766699
2571,284696.7621352264
2314,167136.7496998682
2647,94695.22234103738
422,408688.8155836726
2457,299818.48468669964
1838,204141.81054097685
2805,242800.71676973597
1645,167916.01030990176
1711,309240.04190539115
2825,237764.80257683815
322,334199.47528265475
2103,252183.28232440058
342,113799.50265114651
600,115685.40426485734
488,181262.6725043836
1725,332837.97470407386
2246,255376.41504419793
2847,159031.19476921676
806,229414.6366288394
530,227907.8272305516
963,183137.3232662101
2678,95025.69487974732
171,77188.50859597394
2401,400335.07750416093
805,213004.38440675393
2259,231319.8674306775
1748,186714.23575328427
1361,133834.2009695082
1677,112411.95513934869
1406,159006.4005280635
2322,237219.39240808412
688,165049.78310962298
143,128154.11156030706
804,208830.77741878602
1214,211456.09287373238
2828,138961.16697298226
1999,209995.63651051535
2467,192766.80472196377
2665,159092.01791088656
1538,319920.82535001775
398,107642.70486056879
2822,130927.94574248011
2157,143926.0482406371
1856,205773.47781912534
1269,106549.58784301515
2570,106402.60829369583
2320,234718.5980936423
1517,158463.99756485567
2304,120422.72716130177
1312,101409.69455747318
2012,130354.2676829162
506,268617.6650816746
2865,219185.38639403405
2367,103287.78342804898
554,91092.33147727564
238,129217.48811692969
1954,115092.72120524621
2488,134018.21934544214
2291,70248.43942883004
1969,102793.74845929697
2725,148799.82910359366
1482,147281.7193835937
2763,209875.12859082595
503,269412.99086553114
1584,247378.62935793155
1531,162485.68826295773
2210,191723.69962700363
459,337708.14810365124
556,123961.96199940101
1347,142901.53779594804
1290,58735.50820509202
1388,91825.6162917007
1571,319861.6095503378
2754,202372.07682589203
765,145974.4208335693
2494,121608.28899432051
2870,226595.86572354025
7,259489.3981734357
1114,235230.5241525603
2418,264053.4910686051
291,139321.01234841725
18,338036.8175537802
39,354358.5923740986
1001,287852.5880949507
2442,234634.98247200984
616,122936.70650976551
2680,61481.03071874245
1414,129697.80057421114
289,149692.11991723
40,271833.2307109659
860,126573.06412523263
409,136812.08777512814
673,164656.8579606634
2427,199812.47737616478
2036,193503.9748538673
2564,138511.71710887813
642,179750.4383679605
1008,173842.72790831863
1908,167976.1588775621
2519,241426.75196662502
1369,94402.916988172
2855,158295.97486108707
712,105214.79023880447
1943,130184.58099014094
1958,138700.22185045818
107,202345.39562494267
2295,185784.8414321814
704,90214.11079088891
676,159372.27614194856
259,166496.01153448087
93,288437.53622994834
106,223515.14221984748
2315,178600.7452006317
1050,102299.91835697746
1095,204831.94436665237
2709,158510.26034089405
758,149747.92207295043
1496,158688.11293764427
2370,121885.27473670867
2458,263770.93278588884
2733,113677.08823323314
161,244446.40934845756
726,149344.45718304248
845,207571.76302584156
947,241225.48543748134
2232,114888.44383917224
2563,167255.92481026557
2299,143013.63662804168
211,108257.66247318483
605,174572.1884280878
1478,212450.68909435646
2247,256460.44583484723
2274,231453.7153637276
2869,197602.21154470908
967,211936.4229784926
2656,94241.08840043379
667,218566.35550890796
1042,111518.89320713539
2023,176836.99404773113
2447,358308.62724068214
2055,140215.74232449065
2275,289848.8705540678
2204,187113.21027503602
1563,262567.07285433146
483,240744.54694139693
796,138666.46541239685
1526,176208.4691181321
2042,148532.7513088762
442,344807.9568061765
1693,327554.07669390953
1468,215916.11591451304
1430,208925.24695982743
2605,169981.56981313098
1529,190331.86221501723
335,148207.55147021363
1287,121894.9857079539
31,100489.94933854573
1785,279385.30357978394
82,175528.51092188613
2620,129054.84227657152
252,171581.87764798588
721,72714.6698778323
2165,184810.15248837866
2316,173654.7490195175
775,141506.18612598605
1558,97592.79550342946
17,222221.56654138688
1022,239979.27578684894
925,130033.43568496703
438,307941.01655765733
1270,135122.28416886306
1272,112653.44692596236
215,163998.4544839547
266,222664.6513195018
2402,287473.7325734984
1250,143578.62132974865
1984,115603.83487597725
1279,148401.60471084632
377,238923.75271053083
1252,121094.1637221447
2156,244344.2909406145
499,328431.03774916765
1374,136934.9928512451
2898,225219.56958107316
401,110230.31968741165
2721,145541.2473519915
2078,242013.35794552768
2589,123375.14742109292
1946,217292.65406930662
1334,128779.20844187141
2781,223858.78215777891
431,368065.51033139264
576,232974.29808385114
1474,200290.67299536243
2254,147415.65773113968
2155,269857.0620917318
885,91806.17793550827
643,145370.34487424698
1944,126233.22587588207
480,207354.04795254237
2845,96164.50873819656
2387,324866.63790587697
2407,238195.88238163746
2527,171286.98753736608
2514,163345.8938517915
629,148508.88616873568
80,207138.37568630243
1876,132002.164232975
1546,106234.83881646863
